Accession.ID	Virus.name	Passage.details.history	Collection.date	Pango.lineage	Continent	Country	Province	Region	Region.2
EPI_ISL_10062881	hCoV-19/Thailand/TUC-L22-26232/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062882	hCoV-19/Thailand/TUC-L22-26229/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062883	hCoV-19/Thailand/TUC-L22-26167/2022	Original	2022-02-01	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062884	hCoV-19/Thailand/TUC-L22-26189/2022	Original	2022-02-02	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062885	hCoV-19/Thailand/TUC-L22-26156/2022	Original	2022-02-01	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062886	hCoV-19/Thailand/TUC-L22-26197/2022	Original	2022-02-02	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062887	hCoV-19/Thailand/TUC-L22-26233/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062888	hCoV-19/Thailand/TUC-L22-26206/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062889	hCoV-19/Thailand/TUC-L22-26162/2022	Original	2022-02-01	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062890	hCoV-19/Thailand/TUC-L22-26166/2022	Original	2022-02-01	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062891	hCoV-19/Thailand/TUC-L22-26203/2022	Original	2022-02-02	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10063040	hCoV-19/Belgium/MBLG-CTMAPF48834988/2022	Original	2022-02-09	BA.2	Europe	Belgium	NA	Europe	Non-Thailand
EPI_ISL_10065623	hCoV-19/India/KA-0902APPB020/2022	Original	2022-02-03	B.1.1	Asia	India	NA	Asia	Non-Thailand
EPI_ISL_10066078	hCoV-19/India/KA-SEQ-11524/2022	Original	2022-01-09	B.1.1.529	Asia	India	NA	Asia	Non-Thailand
EPI_ISL_10066144	hCoV-19/India/KA-SEQ-11632/2022	Original	2022-01-09	B.1.1.529	Asia	India	NA	Asia	Non-Thailand
EPI_ISL_10066266	hCoV-19/India/KA-SEQ-11782/2022	Original	2022-01-11	BA.2.10	Asia	India	NA	Asia	Non-Thailand
EPI_ISL_10067925	hCoV-19/Cambodia/912794/2022	Original	2022-02-04	AY.85	Asia	Cambodia	NA	Asia	Non-Thailand
EPI_ISL_10067961	hCoV-19/Cambodia/g0210025/2022	Original	2022-02-10	BA.1.1	Asia	Cambodia	NA	Asia	Non-Thailand
EPI_ISL_10067969	hCoV-19/Cambodia/g0211156/2022	Original	2022-02-11	BA.1.1	Asia	Cambodia	NA	Asia	Non-Thailand
EPI_ISL_10070308	hCoV-19/Thailand/CU-A21181-NT/2021	Original	2021-09-05	AY.6	Asia	Thailand	NA	Unknown	Thailand
EPI_ISL_10070309	hCoV-19/Thailand/CU-A21313-NPS/2021	Original	2021-05-27	B.1.1.7	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10070310	hCoV-19/Thailand/CU-A21382-NT/2021	Original	2021-06-04	B.1.525	Asia	Thailand	Samut Prakan	BMR	Thailand
EPI_ISL_10070311	hCoV-19/Thailand/CU-A21387-NT/2021	Original	2021-06-04	B.1.351	Asia	Thailand	Samut Prakan	BMR	Thailand
EPI_ISL_10070312	hCoV-19/Thailand/CU-A21518-NT/2021	Original	2021-06-18	B.1.1.7	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10070313	hCoV-19/Thailand/CU-A21523-NT/2021	Original	2021-06-15	B.1.1.7	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10070314	hCoV-19/Thailand/CU-A21623-NT/2021	Original	2021-07-14	AY.30	Asia	Thailand	NA	Unknown	Thailand
EPI_ISL_10073178	hCoV-19/USA/TN-ASC-210684668/2022	Original	2022-01-25	BA.1.1	North America	USA	NA	North America	Non-Thailand
EPI_ISL_10074812	hCoV-19/USA/MN-CDC-IBX753459365677/2022	Original	2022-02-02	BA.1.1	North America	USA	NA	North America	Non-Thailand
EPI_ISL_1007658	hCoV-19/Thailand/CU-SI2107327-NT/2021	Original	2021-02-12	B.1.351	Asia	Thailand	NA	Unknown	Thailand
EPI_ISL_1007659	hCoV-19/Thailand/CU-SI2107331-NT/2021	Original	2021-02-12	B.1.351	Asia	Thailand	NA	Unknown	Thailand
EPI_ISL_10078607	hCoV-19/USA/MD-IGS-072202600065A/2022	Original	2022-01-26	BA.1.1	North America	USA	NA	North America	Non-Thailand
EPI_ISL_10079741	hCoV-19/Sweden/01_SE100_22CS501894/2022	Original	2022-02-08	BA.1.1	Europe	Sweden	NA	Europe	Non-Thailand
EPI_ISL_10080690	hCoV-19/India/KA-SEQ_9860_S239_R1_001/2022	Original	2022-01-02	BA.2.10	Asia	India	NA	Asia	Non-Thailand
EPI_ISL_10080740	hCoV-19/India/KA-SEQ_9670_S37_R1_001/2022	Original	2022-01-02	BA.2	Asia	India	NA	Asia	Non-Thailand
EPI_ISL_10093014	hCoV-19/USA/UT-UPHL-220216236369/2022	Original	2022-01-31	BA.1.1	North America	USA	NA	North America	Non-Thailand
EPI_ISL_10095978	hCoV-19/Thailand/DMSc-07528/2022	Original	2022-01-29	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10095979	hCoV-19/Thailand/DMSc-07529/2022	Original	2022-02-03	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10095982	hCoV-19/Thailand/DMSc-07532/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10095983	hCoV-19/Thailand/DMSc-07533/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10095984	hCoV-19/Thailand/DMSc-07534/2022	Original	2022-02-03	BA.1.17	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10095985	hCoV-19/Thailand/DMSc-07535/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
EPI_ISL_10095986	hCoV-19/Thailand/DMSc-07536/2022	Original	2022-01-29	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10095987	hCoV-19/Thailand/DMSc-07537/2022	Original	2022-02-03	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10095988	hCoV-19/Thailand/DMSc-07538/2022	Original	2022-02-04	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10095989	hCoV-19/Thailand/DMSc-07539/2022	Original	2022-02-06	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10095990	hCoV-19/Thailand/DMSc-07540/2022	Original	2022-02-03	BA.1.17	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10095991	hCoV-19/Thailand/DMSc-07541/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10095992	hCoV-19/Thailand/DMSc-07542/2022	Original	2022-02-03	BA.1.17	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10095993	hCoV-19/Thailand/DMSc-07543/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
EPI_ISL_10095994	hCoV-19/Thailand/DMSc-07544/2022	Original	2022-01-29	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10095995	hCoV-19/Thailand/DMSc-07545/2022	Original	2022-02-03	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10095996	hCoV-19/Thailand/DMSc-07546/2022	Original	2022-02-01	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10095997	hCoV-19/Thailand/DMSc-07547/2022	Original	2022-02-06	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10095998	hCoV-19/Thailand/DMSc-07548/2022	Original	2022-02-03	BA.1.17	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10095999	hCoV-19/Thailand/DMSc-07549/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096000	hCoV-19/Thailand/DMSc-07550/2022	Original	2022-02-03	BA.1.17	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096001	hCoV-19/Thailand/DMSc-07551/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
EPI_ISL_10096002	hCoV-19/Thailand/DMSc-07552/2022	Original	2022-01-29	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096003	hCoV-19/Thailand/DMSc-07553/2022	Original	2022-02-03	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096004	hCoV-19/Thailand/DMSc-07554/2022	Original	2022-02-01	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096005	hCoV-19/Thailand/DMSc-07555/2022	Original	2022-02-06	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096006	hCoV-19/Thailand/DMSc-07556/2022	Original	2022-02-03	BA.1.17	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096007	hCoV-19/Thailand/DMSc-07557/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096008	hCoV-19/Thailand/DMSc-07558/2022	Original	2022-02-03	BA.1.17	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096009	hCoV-19/Thailand/DMSc-07559/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
EPI_ISL_10096010	hCoV-19/Thailand/DMSc-07560/2022	Original	2022-01-29	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096011	hCoV-19/Thailand/DMSc-07561/2022	Original	2022-02-04	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096012	hCoV-19/Thailand/DMSc-07562/2022	Original	2022-02-01	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096013	hCoV-19/Thailand/DMSc-07563/2022	Original	2022-02-06	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096014	hCoV-19/Thailand/DMSc-07564/2022	Original	2022-02-03	BA.1.17	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096015	hCoV-19/Thailand/DMSc-07565/2022	Original	2022-02-03	BA.2.10	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096016	hCoV-19/Thailand/DMSc-07566/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Kalasin	non-BMR	Thailand
EPI_ISL_10096017	hCoV-19/Thailand/DMSc-07567/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
EPI_ISL_10096018	hCoV-19/Thailand/DMSc-07568/2022	Original	2022-01-29	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096019	hCoV-19/Thailand/DMSc-07569/2022	Original	2022-02-04	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096020	hCoV-19/Thailand/DMSc-07570/2022	Original	2022-02-01	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096021	hCoV-19/Thailand/DMSc-07571/2022	Original	2022-02-06	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096022	hCoV-19/Thailand/DMSc-07572/2022	Original	2022-02-03	BA.1.17	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096023	hCoV-19/Thailand/DMSc-07573/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096024	hCoV-19/Thailand/DMSc-07575/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
EPI_ISL_10096025	hCoV-19/Thailand/DMSc-07576/2022	Original	2022-01-29	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096026	hCoV-19/Thailand/DMSc-07577/2022	Original	2022-02-04	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096027	hCoV-19/Thailand/DMSc-07578/2022	Original	2022-02-01	BA.1.16	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096028	hCoV-19/Thailand/DMSc-07579/2022	Original	2022-02-07	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096029	hCoV-19/Thailand/DMSc-07580/2022	Original	2022-02-03	BA.1.17	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096030	hCoV-19/Thailand/DMSc-07581/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096031	hCoV-19/Thailand/DMSc-07582/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Kalasin	non-BMR	Thailand
EPI_ISL_10096032	hCoV-19/Thailand/DMSc-07583/2022	Original	2022-02-03	AY.85	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
EPI_ISL_10096033	hCoV-19/Thailand/DMSc-07584/2022	Original	2022-02-01	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096034	hCoV-19/Thailand/DMSc-07585/2022	Original	2022-02-04	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096035	hCoV-19/Thailand/DMSc-07586/2022	Original	2022-02-02	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096036	hCoV-19/Thailand/DMSc-07587/2022	Original	2022-02-07	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096037	hCoV-19/Thailand/DMSc-07588/2022	Original	2022-02-03	BA.1.17	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096038	hCoV-19/Thailand/DMSc-07589/2022	Original	2022-02-03	BA.2.10	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096039	hCoV-19/Thailand/DMSc-07590/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Kalasin	non-BMR	Thailand
EPI_ISL_10096040	hCoV-19/Thailand/DMSc-07591/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
EPI_ISL_10096041	hCoV-19/Thailand/DMSc-07592/2022	Original	2022-02-02	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096042	hCoV-19/Thailand/DMSc-07593/2022	Original	2022-02-04	BA.1.1.18	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096043	hCoV-19/Thailand/DMSc-07594/2022	Original	2022-02-03	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096044	hCoV-19/Thailand/DMSc-07595/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096045	hCoV-19/Thailand/DMSc-07596/2022	Original	2022-02-03	BA.1.17	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096046	hCoV-19/Thailand/DMSc-07597/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096047	hCoV-19/Thailand/DMSc-07598/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
EPI_ISL_10096048	hCoV-19/Thailand/DMSc-07599/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
EPI_ISL_10096049	hCoV-19/Thailand/DMSc-07600/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096050	hCoV-19/Thailand/DMSc-07601/2022	Original	2022-02-04	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096051	hCoV-19/Thailand/DMSc-07602/2022	Original	2022-02-03	BA.1.1.18	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_10096052	hCoV-19/Thailand/DMSc-07603/2022	Original	2022-02-03	BA.2.10	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096054	hCoV-19/Thailand/DMSc-07604/2022	Original	2022-02-03	BA.1.17	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096055	hCoV-19/Thailand/DMSc-07605/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Khon Kaen	non-BMR	Thailand
EPI_ISL_10096056	hCoV-19/Thailand/DMSc-07606/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
EPI_ISL_10096057	hCoV-19/Thailand/DMSc-07607/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
